track_id,energy,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence
000mA0etY38nKdvf1N04af,0.616,78.673,0.0373,0.243,2.97e-06,0.303,-8.468,0.219
000xQL6tZNLJzIrtIgxqSl,0.627,120.963,0.0639,0.131,0.0,0.748,-6.029,0.524
002PgfoyfrOGiKch4EW8Wm,0.0334,80.816,0.0474,0.985,0.561,0.182,-31.46,0.0683
004skCQeDn1iLntSom0rRr,0.846,132.997,0.0778,0.000738,1.25e-06,0.605,-4.581,0.764
005CGalYNgMNZcvWMIFeK8,0.664,104.594,0.0406,0.177,0.00322,0.634,-9.303,0.731
005X0FmdtkM1kiutosXLTR,0.517,140.301,0.0309,0.551,0.0,0.554,-6.486,0.355
006AVH7fq061voGXkUiII4,0.324,115.137,0.0442,0.697,0.0,0.491,-10.627,0.123
006PJvsr6CyV3JdBf7wiNF,0.417,119.968,0.0437,0.162,2.79e-05,0.861,-8.083,0.235
006yrnQMCZpiUgkR612gC8,0.808,140.16,0.084,0.0543,0.00022,0.75,-2.032,0.263
009NFK4GeY7xzHCJPrPKdz,0.931,137.061,0.0684,0.00667,0.0,0.532,-3.616,0.503
00AxNl4D4jHL2AEf1W55j5,0.804,107.985,0.0265,0.000668,1.19e-06,0.579,-4.777,0.291
00BnfL75e8vHSGCmwUWbEk,0.472,119.81,0.136,0.0846,9.48e-06,0.604,-9.488,0.399
00BuKLSAFkaEkaVAgIMbeA,0.832,122.021,0.0403,0.00587,0.000789,0.825,-5.853,0.713
00Ci0EXS4fNPnkTbS6wkOh,0.77,184.537,0.0824,0.000965,0.0115,0.53,-5.882,0.107
00CmjeeHvAVKvx3tcIiZTy,0.405,105.902,0.0304,0.426,0.0,0.678,-16.965,0.96
00CqEmnPLFKDhAb3cuu6Cs,0.985,116.006,0.0743,0.04,0.0,0.575,-1.038,0.477
00CujlY4ya5p2FNDu9BCZP,0.753,76.284,0.0988,0.0226,3.99e-05,0.356,-5.061,0.35
00DYRuYJQzfI6dH4Adkimo,0.922,174.846,0.0384,0.00216,5.15e-05,0.507,-5.017,0.682
00DlEKhhlQNtjnJk7xqB9O,0.89,138.743,0.042,0.000404,0.0,0.5,-4.094,0.36
00EE6U2juZMvGuMUCTHuas,0.934,94.036,0.306,0.0433,0.0,0.676,-7.675,0.578
00EfcDboIDLWzvPypeWGDg,0.671,169.84,0.57,0.791,8.04e-06,0.537,-9.74,0.3
00EhzXcoejkD5RWoS8L4IX,0.606,92.978,0.396,0.24,0.0,0.781,-4.952,0.899
00FR9VQ0uzF4NNxVKKiMz2,0.616,145.461,0.284,0.453,0.0,0.389,-8.747,0.716
00FROhC5g4iJdax5US8jRr,0.594,87.261,0.185,0.591,0.0,0.764,-10.05,0.695
00FU5uypELwgQuM9IbFC6G,0.583,126.517,0.281,0.0918,0.0,0.6,-6.617,0.763
00FaBIFXUfzaaVcsQmTTJY,0.852,143.025,0.122,0.0129,0.0,0.659,-6.186,0.789
00FjRu5wKkgDfiHognphYv,0.212,87.384,0.035,0.835,0.822,0.127,-19.743,0.135
00H4w1nxlzue3YNjaa3Kwg,0.752,64.03,0.0366,0.0353,0.0,0.355,-4.224,0.273
00HZJG1FRNi2Q7KAkZ3UOv,0.949,160.04,0.0978,0.000594,0.38,0.642,-1.061,0.626
